종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
226490,1,KODEX 코스피,31470,2,10,0.03,31477.0,-2.8563,68633,2154,3178,국내 시장지수,KODEX,False,False,False
367770,2,KBSTAR Fn수소경제테마,12825,2,70,0.55,12822.0,1.1498,422368,5399,3104,국내 업종/테마,KBSTAR,False,False,False
251350,4,KODEX 선진국MSCI World,20670,5,-30,-0.14,,9.4658,33217,685,3059,해외 주식,KODEX,False,False,False
192090,4,TIGER 차이나CSI300,12035,5,-75,-0.62,,-0.4522,117719,1421,2696,해외 주식,TIGER,False,False,False
143850,4,TIGER 미국S&P500선물(H),52295,5,-355,-0.67,,7.023,619452,32296,2693,해외 주식,TIGER,False,False,True
332940,1,HANARO MSCI Korea TR,16515,2,95,0.58,16508.0,-4.5072,51,0,2675,국내 시장지수,HANARO,False,False,False
295040,1,SOL 200TR,13980,2,25,0.18,13977.0,-4.5812,20135,280,2663,국내 시장지수,SOL,False,False,False
272560,6,KBSTAR 단기국공채액티브,102140,5,-10,-0.01,102139.0,0.0538,518915,53006,2589,채권,KBSTAR,False,False,False
108450,2,KINDEX 삼성그룹섹터가중,17060,5,-55,-0.32,17068.0,4.0109,2065,35,2576,국내 업종/테마,KINDEX,False,False,False
357870,7,TIGER CD금리투자KIS(합성),50420,2,10,0.02,50408.0,0.1689,172,8,2573,기타,TIGER,False,False,False
367380,4,KINDEX 미국나스닥100,13995,5,-35,-0.25,,18.3966,191619,2676,2561,해외 주식,KINDEX,False,False,False
275980,4,TIGER 글로벌4차산업혁신기술(합성 H),19345,5,-70,-0.36,,4.9743,51937,1004,2534,해외 주식,TIGER,False,False,True
385550,6,KBSTAR KIS단기종합채권(AA-이상)액티브,100045,5,-10,-0.01,100036.0,0.0499,26,2,2529,채권,KBSTAR,False,False,False
091160,2,KODEX 반도체,34920,5,-310,-0.88,34928.0,-3.8483,87183,3041,2497,국내 업종/테마,KODEX,False,False,False
168580,4,KINDEX 중국본토CSI300,31935,5,-285,-0.88,,-0.9682,16274,521,2395,해외 주식,KINDEX,False,False,False
132030,5,KODEX 골드선물(H),12120,5,-85,-0.7,,-4.8714,156116,1889,2242,원자재,KODEX,False,False,True
196230,6,KBSTAR 단기통안채,104570,2,5,0.0,104565.0,0.0669,825396,86311,2163,채권,KBSTAR,False,False,False
190620,6,KINDEX 단기통안채,100450,3,0,0.0,100443.0,0.1046,900,90,2160,채권,KINDEX,False,False,False
245710,4,KINDEX 베트남VN30(합성),21890,2,175,0.81,,4.6758,62626,1366,2145,해외 주식,KINDEX,False,False,False
332930,1,HANARO 200TR,48865,2,115,0.24,48872.0,-4.5148,163,7,2126,국내 시장지수,HANARO,False,False,False
261220,5,KODEX WTI원유선물(H),10700,2,265,2.54,,-0.0958,517036,5514,2124,원자재,KODEX,False,False,True
272580,6,TIGER 단기채권액티브,50155,5,-10,-0.02,50154.0,0.0598,2740,137,2084,채권,TIGER,False,False,False
161510,2,ARIRANG 고배당주,12660,2,40,0.32,12678.0,0.2382,140265,1770,2028,국내 업종/테마,ARIRANG,False,False,False
326240,2,KBSTAR IT플러스,21580,5,-75,-0.35,21587.0,0.8147,68136,1468,1882,국내 업종/테마,KBSTAR,False,False,False
302450,1,KBSTAR 코스피,31470,2,20,0.06,31458.0,-3.0518,50,1,1778,국내 시장지수,KBSTAR,False,False,False
390950,6,HANARO 단기채권액티브,100140,3,0,0.0,100144.0,,0,0,1746,채권,HANARO,False,False,False
278240,1,KBSTAR 코스닥150선물레버리지,16315,5,-345,-2.07,16298.0,15.7346,8986,147,1724,국내 시장지수,KBSTAR,False,True,False
232080,1,TIGER 코스닥150,15045,5,-160,-1.05,15207.0,7.0397,123491,1857,1706,국내 시장지수,TIGER,False,False,False
143860,2,TIGER 헬스케어,43800,5,-680,-1.53,43981.0,2.7251,29860,1309,1656,국내 업종/테마,TIGER,False,False,False
182480,7,TIGER 미국MSCI리츠(합성 H),15100,5,-260,-1.69,,2.9007,107552,1628,1646,기타,TIGER,False,False,True
270810,1,KBSTAR 코스닥150,14755,5,-165,-1.11,14911.0,7.1069,19240,283,1635,국내 시장지수,KBSTAR,False,False,False
136340,6,KBSTAR 중기우량회사채,104970,5,-50,-0.05,105006.0,-0.2707,751,78,1575,채권,KBSTAR,False,False,False
372330,4,KODEX 차이나항셍테크,8610,5,-185,-2.1,,-12.1379,735584,6348,1520,해외 주식,KODEX,False,False,False
091230,2,TIGER 반도체,35840,5,-270,-0.75,35833.0,-3.8733,86010,3081,1520,국내 업종/테마,TIGER,False,False,False
150460,2,TIGER 중국소비테마,8710,5,-75,-0.85,8743.0,-7.4289,27781,241,1508,국내 업종/테마,TIGER,False,False,False
148070,6,KOSEF 국고채10년,121220,5,-240,-0.2,121270.0,0.9936,2957,358,1321,채권,KOSEF,False,False,False
138540,2,TIGER 현대차그룹+펀더멘털,25895,5,-60,-0.23,25894.0,-6.9714,21758,561,1321,국내 업종/테마,TIGER,False,False,False
368590,4,KBSTAR 미국나스닥100,13560,5,-25,-0.18,,18.3877,178681,2416,1302,해외 주식,KBSTAR,False,False,False
204480,4,TIGER 차이나CSI300레버리지(합성),32505,5,-190,-0.58,,-4.1484,45466,1485,1300,해외 주식,TIGER,False,True,False
219480,4,KODEX 미국S&P500선물(H),21535,5,-145,-0.67,,6.9033,53853,1157,1292,해외 주식,KODEX,False,False,True
252710,3,TIGER 200선물인버스2X,2170,5,-5,-0.23,2174.0,8.4788,4539161,9901,1276,국내 파생,TIGER,True,False,False
329750,6,TIGER 미국달러단기채권액티브,10065,2,60,0.6,,4.6001,162285,1633,1274,채권,TIGER,False,False,False
394660,4,TIGER 글로벌자율주행&전기차SOLACTIVE,10730,2,15,0.14,,,189498,2027,1270,해외 주식,TIGER,False,False,False
379800,4,KODEX 미국S&P500TR,11580,5,-15,-0.13,,11.9208,148389,1713,1262,해외 주식,KODEX,False,False,False
283580,4,KODEX 차이나CSI300,14630,2,55,0.38,,-1.0187,56542,825,1258,해외 주식,KODEX,False,False,False
379810,4,KODEX 미국나스닥100TR,11970,5,-30,-0.25,,18.3431,240904,2876,1257,해외 주식,KODEX,False,False,False
367760,2,KBSTAR Fn5G테크,10720,5,-15,-0.14,10715.0,-3.722,38188,407,1206,국내 업종/테마,KBSTAR,False,False,False
298770,4,KODEX 한국대만IT프리미어,20075,5,-130,-0.64,,1.2781,15275,306,1184,해외 주식,KODEX,False,False,False
273140,6,KODEX 단기변동금리부채권액티브,102725,5,-15,-0.01,102720.0,0.151,80,8,1141,채권,KODEX,False,False,False
267770,3,TIGER 200선물레버리지,19220,2,65,0.34,19227.0,-9.5823,252888,4857,1134,국내 파생,TIGER,False,True,False
328370,1,ARIRANG 코스피TR,15780,2,5,0.03,15783.0,-2.4127,33,0,1097,국내 시장지수,ARIRANG,False,False,False
139220,2,TIGER 200 건설,3250,5,-25,-0.76,3260.0,0.7692,469025,1516,1069,국내 업종/테마,TIGER,False,False,False
325010,2,KODEX Fn성장,18105,5,-55,-0.3,18080.0,-0.4386,1191,21,1050,국내 업종/테마,KODEX,False,False,False
322400,2,HANARO e커머스,18775,5,-275,-1.44,18775.0,-1.4231,108630,2039,1042,국내 업종/테마,HANARO,False,False,False
309230,2,KINDEX 미국WideMoat가치주,17780,2,25,0.14,,6.3492,43629,774,1031,국내 업종/테마,KINDEX,False,False,False
228800,2,TIGER 여행레저,5500,5,-35,-0.63,5517.0,-6.2659,630927,3470,1028,국내 업종/테마,TIGER,False,False,False
144600,5,KODEX 은선물(H),4870,5,-110,-2.21,,-13.1648,380669,1855,1008,원자재,KODEX,False,False,True
114260,6,KODEX 국고채3년,57910,5,-70,-0.12,57943.0,-0.1292,1706,98,1008,채권,KODEX,False,False,False
